Nazwa zmiennej;Jednostka terytorialna;Sposób prezentacji;Rok;Miesiąc;Wartość;Flaga
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Grudzień poprzedniego roku = 100;2023;1;102,5;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Grudzień poprzedniego roku = 100;2023;2;103,8;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Grudzień poprzedniego roku = 100;2023;3;104,9;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Grudzień poprzedniego roku = 100;2023;4;105,7;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Grudzień poprzedniego roku = 100;2023;5;105,7;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Grudzień poprzedniego roku = 100;2023;6;105,7;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Grudzień poprzedniego roku = 100;2023;7;105,5;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Grudzień poprzedniego roku = 100;2023;8;105,5;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Grudzień poprzedniego roku = 100;2023;9;105,1;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Grudzień poprzedniego roku = 100;2023;10;105,3;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Grudzień poprzedniego roku = 100;2023;11;106,1;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Grudzień poprzedniego roku = 100;2023;12;106,2;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Poprzedni miesiąc = 100;2023;1;102,5;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Poprzedni miesiąc = 100;2023;2;101,2;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Poprzedni miesiąc = 100;2023;3;101,1;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Poprzedni miesiąc = 100;2023;4;100,7;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Poprzedni miesiąc = 100;2023;5;100,0;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Poprzedni miesiąc = 100;2023;6;100,0;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Poprzedni miesiąc = 100;2023;7;99,8;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Poprzedni miesiąc = 100;2023;8;100,0;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Poprzedni miesiąc = 100;2023;9;99,6;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Poprzedni miesiąc = 100;2023;10;100,3;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Poprzedni miesiąc = 100;2023;11;100,7;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Poprzedni miesiąc = 100;2023;12;100,1;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny miesiąc poprzedniego roku = 100;2023;1;116,6;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny miesiąc poprzedniego roku = 100;2023;2;118,4;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny miesiąc poprzedniego roku = 100;2023;3;116,1;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny miesiąc poprzedniego roku = 100;2023;4;114,7;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny miesiąc poprzedniego roku = 100;2023;5;113,0;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny miesiąc poprzedniego roku = 100;2023;6;111,5;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny miesiąc poprzedniego roku = 100;2023;7;110,8;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny miesiąc poprzedniego roku = 100;2023;8;110,1;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny miesiąc poprzedniego roku = 100;2023;9;108,2;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny miesiąc poprzedniego roku = 100;2023;10;106,6;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny miesiąc poprzedniego roku = 100;2023;11;106,6;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny miesiąc poprzedniego roku = 100;2023;12;106,2;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny okres narastający poprzedniego roku = 100;2023;1;116,6;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny okres narastający poprzedniego roku = 100;2023;2;117,5;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny okres narastający poprzedniego roku = 100;2023;3;117,0;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny okres narastający poprzedniego roku = 100;2023;4;116,4;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny okres narastający poprzedniego roku = 100;2023;5;115,7;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny okres narastający poprzedniego roku = 100;2023;6;115,0;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny okres narastający poprzedniego roku = 100;2023;7;114,4;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny okres narastający poprzedniego roku = 100;2023;8;113,8;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny okres narastający poprzedniego roku = 100;2023;9;113,2;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny okres narastający poprzedniego roku = 100;2023;10;112,5;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny okres narastający poprzedniego roku = 100;2023;11;111,9;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny okres narastający poprzedniego roku = 100;2023;12;111,4;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2023;1;108,6;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2023;2;109,9;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2023;3;111,2;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2023;4;111,9;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2023;5;112,0;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2023;6;112,0;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2023;7;111,7;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2023;8;111,8;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2023;9;111,3;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2023;10;111,6;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2023;11;112,3;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2023;12;112,4;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Grudzień poprzedniego roku = 100;2022;1;101,9;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Grudzień poprzedniego roku = 100;2022;2;101,6;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Grudzień poprzedniego roku = 100;2022;3;104,9;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Grudzień poprzedniego roku = 100;2022;4;107,0;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Grudzień poprzedniego roku = 100;2022;5;108,8;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Grudzień poprzedniego roku = 100;2022;6;110,4;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Grudzień poprzedniego roku = 100;2022;7;110,9;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Grudzień poprzedniego roku = 100;2022;8;111,8;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Grudzień poprzedniego roku = 100;2022;9;113,6;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Grudzień poprzedniego roku = 100;2022;10;115,6;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Grudzień poprzedniego roku = 100;2022;11;116,4;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Grudzień poprzedniego roku = 100;2022;12;116,6;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Poprzedni miesiąc = 100;2022;1;101,9;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Poprzedni miesiąc = 100;2022;2;99,7;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Poprzedni miesiąc = 100;2022;3;103,3;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Poprzedni miesiąc = 100;2022;4;102,0;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Poprzedni miesiąc = 100;2022;5;101,7;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Poprzedni miesiąc = 100;2022;6;101,5;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Poprzedni miesiąc = 100;2022;7;100,5;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Poprzedni miesiąc = 100;2022;8;100,8;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Poprzedni miesiąc = 100;2022;9;101,6;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Poprzedni miesiąc = 100;2022;10;101,8;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Poprzedni miesiąc = 100;2022;11;100,7;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Poprzedni miesiąc = 100;2022;12;100,1;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny miesiąc poprzedniego roku = 100;2022;1;109,4;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny miesiąc poprzedniego roku = 100;2022;2;108,5;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny miesiąc poprzedniego roku = 100;2022;3;111,0;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny miesiąc poprzedniego roku = 100;2022;4;112,4;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny miesiąc poprzedniego roku = 100;2022;5;113,9;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny miesiąc poprzedniego roku = 100;2022;6;115,5;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny miesiąc poprzedniego roku = 100;2022;7;115,6;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny miesiąc poprzedniego roku = 100;2022;8;116,1;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny miesiąc poprzedniego roku = 100;2022;9;117,2;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny miesiąc poprzedniego roku = 100;2022;10;117,9;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny miesiąc poprzedniego roku = 100;2022;11;117,5;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny miesiąc poprzedniego roku = 100;2022;12;116,6;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny okres narastający poprzedniego roku = 100;2022;1;109,4;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny okres narastający poprzedniego roku = 100;2022;2;109,0;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny okres narastający poprzedniego roku = 100;2022;3;109,7;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny okres narastający poprzedniego roku = 100;2022;4;110,3;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny okres narastający poprzedniego roku = 100;2022;5;111,1;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny okres narastający poprzedniego roku = 100;2022;6;111,8;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny okres narastający poprzedniego roku = 100;2022;7;112,4;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny okres narastający poprzedniego roku = 100;2022;8;112,8;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny okres narastający poprzedniego roku = 100;2022;9;113,3;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny okres narastający poprzedniego roku = 100;2022;10;113,8;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny okres narastający poprzedniego roku = 100;2022;11;114,1;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Analogiczny okres narastający poprzedniego roku = 100;2022;12;114,4;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2022;1;106,0;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2022;2;105,6;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2022;3;109,1;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2022;4;111,3;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2022;5;113,1;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2022;6;114,8;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2022;7;115,4;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2022;8;116,3;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2022;9;118,1;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2022;10;120,2;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2022;11;121,1;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2022;12;121,2;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Grudzień poprzedniego roku = 100;2021;1;101,3;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Grudzień poprzedniego roku = 100;2021;2;101,8;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Grudzień poprzedniego roku = 100;2021;3;102,8;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Grudzień poprzedniego roku = 100;2021;4;103,6;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Grudzień poprzedniego roku = 100;2021;5;103,9;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Grudzień poprzedniego roku = 100;2021;6;104,0;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Grudzień poprzedniego roku = 100;2021;7;104,5;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Grudzień poprzedniego roku = 100;2021;8;104,8;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Grudzień poprzedniego roku = 100;2021;9;105,5;
